album,track_no,track_title,audio_url,lyrics_url,lyrics_offset,lyric_preview
狗咬狗,4,黑色星期五,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/04-%E9%BB%91%E8%89%B2%E6%98%9F%E6%9C%9F%E4%BA%94.flac,./lyrics/狗咬狗/黑色星期五.lrc,0.0,V1.
狗咬狗,5,P.Y.T,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/05-P.Y.T.flac,./lyrics/狗咬狗/pyt.lrc,0.0,她习惯把甜言蜜语挂在嘴边
狗咬狗,6,DBD Radio Interlude,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/06-DBD%20Radio%20Interlude.flac,./lyrics/狗咬狗/dbd-radio-interlude.lrc,0.0,亚洲夜之子新马泰耍
狗咬狗,7,说耍的,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/07-%E8%AF%B4%E8%80%8D%E7%9A%84.flac,./lyrics/狗咬狗/说耍的.lrc,0.0,Yeah yeah hater些口臭要吃一点儿Mentos
狗咬狗,8,是啊,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/08-%E6%98%AF%E5%95%8A.flac,./lyrics/狗咬狗/是啊.lrc,0.0,跟赚钱没关系的事情 Please don’t ask me
狗咬狗,9,GOAT Right Now,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/09-GOAT%20Right%20Now.flac,./lyrics/狗咬狗/goat-right-now.lrc,0.0,我说Asen在欧城像O block的Durk
狗咬狗,10,链子在空中甩,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/10-%E9%93%BE%E5%AD%90%E5%9C%A8%E7%A9%BA%E4%B8%AD%E7%94%A9.flac,./lyrics/狗咬狗/链子在空中甩.lrc,0.0,链子在空中甩
狗咬狗,11,表演赛,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/11-%E8%A1%A8%E6%BC%94%E8%B5%9B.flac,./lyrics/狗咬狗/表演赛.lrc,0.0,那我继续整点儿 我们给你表演看看who’s the winner
狗咬狗,12,Babe (feat. 罗言),https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/12-Babe%20(feat.%20%E7%BD%97%E8%A8%80).flac,./lyrics/狗咬狗/babe-feat-罗言.lrc,0.0,每当你觉得孤单 just talk to me babe
狗咬狗,13,Bars,https://pub-bf6c625d61634054bc2ce5d65fd24d5e.r2.dev/audio/04-%E7%8B%97%E5%92%AC%E7%8B%97/13-Bars.flac,./lyrics/狗咬狗/bars.lrc,0.0,I feel like Jack Sparrow
